City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Pontes E Lacerda,BR,2021-04-19 14:08:43,-15.2261,-59.3353,82.58,70,35,2.75
272,Mahebourg,MU,2021-04-19 14:08:43,-20.4081,57.7,82.4,74,75,8.05
273,Sobolevo,RU,2021-04-19 14:08:43,54.4299,31.8996,47.55,80,99,12.82
274,Tiznit,MA,2021-04-19 14:08:44,29.5833,-9.5,77.86,34,10,10.76
275,Volkhovskiy,RU,2021-04-19 14:08:44,58.58,31.3164,55.71,39,6,8.79
276,Say,NE,2021-04-19 14:08:44,13.1007,2.3689,107.6,12,0,10.36
277,Koulamoutou,GA,2021-04-19 14:08:44,-1.1303,12.4736,84.2,70,40,2.37
278,Wilmington Island,US,2021-04-19 14:04:18,32.0036,-80.9737,69.8,43,20,16.11
279,Narrabri,AU,2021-04-19 14:08:45,-30.3167,149.7833,48.2,81,0,2.1
280,Hanmer Springs,NZ,2021-04-19 14:08:45,-42.5167,172.8167,46.49,81,100,5.68
281,Victoria,HK,2021-04-19 14:04:31,22.2855,114.1577,73.0,75,79,1.01
282,Rawson,AR,2021-04-19 14:08:45,-43.3002,-65.1023,72.32,58,87,23.53
283,Kharitonovo,RU,2021-04-19 14:08:46,61.4009,47.4978,43.52,38,0,2.62
284,Dingli,MT,2021-04-19 14:08:46,35.8614,14.3822,61.0,59,40,21.85
285,Vila,PT,2021-04-19 14:08:46,42.0304,-8.1588,66.99,53,85,10.0
286,Rengo,CL,2021-04-19 14:08:47,-34.4167,-70.8667,59.0,72,1,2.3
287,Zaozerne,UA,2021-04-19 14:08:47,45.1582,33.2787,57.0,59,100,6.17
288,Belyy Yar,RU,2021-04-19 14:08:47,53.6039,91.3903,30.2,43,0,6.71
289,Tuatapere,NZ,2021-04-19 14:08:48,-46.1333,167.6833,50.0,84,52,1.99
290,Saskylakh,RU,2021-04-19 14:08:48,71.9167,114.0833,-10.64,100,84,4.83
